audio,Noakhali_text
/content/drive/MyDrive/WavDataset/TestWavFile/riadmsgn_segment_0.wav,ভাই হইলা আই আইবিএর লাই ট্রাই কইচ্ছি বুইযজেন নি ঢাকা ইউনিভার্সিটির আইবিএ
/content/drive/MyDrive/WavDataset/TestWavFile/riadmsgn_segment_1.wav,ইয়ানের লাই ট্রাই কইচ্ছিলাম আই সাইন্সের তুন হইচ্ছি আল্লাহর রহমতে
/content/drive/MyDrive/WavDataset/TestWavFile/riadmsgn_segment_2.wav,সাইন্সের তুন ভাল রেজাল্ট কইচ্ছি করার হরে দেই অন আই
/content/drive/MyDrive/WavDataset/TestWavFile/riadmsgn_segment_3.wav,মানি সবসময় আর একটা স্বপ্ন আছিল আরকি যে ঢাকা ইউনিভার্সিটির আইবিএর মইদ্ধে ভরতি হইম
/content/drive/MyDrive/WavDataset/TestWavFile/riadmsgn_segment_4.wav,অন এডার লাই আই সাইন্সের সব ছারি আর আব্বা মেডিকেলের মইদ্ধে মেডীকেলের প্রিপারেশনের লাই
/content/drive/MyDrive/WavDataset/TestWavFile/riadmsgn_segment_5.wav,উন্মেশের মইদ্ধে ভরতি করাইছে আই হেই উন্মাশের প্রিপারেশন হিয়ান্তা কদ্দুর লইছি কদ্দুর
/content/drive/MyDrive/WavDataset/TestWavFile/riadmsgn_segment_6.wav,না লই মানি অদ্দইককা অদ্দেইকা এরুমম কদ্দুর লইছি আরি না লই হরে আই দেই
/content/drive/MyDrive/WavDataset/TestWavFile/riadmsgn_segment_7.wav,আইবিএর লাই মেন্টরস এ ইয়ান্দি ভরতি হইছি ইয়ান্দি শিরশ ভাই একটা আসিল হেতে
/content/drive/MyDrive/WavDataset/TestWavFile/riadmsgn_segment_8.wav,হরাইসে আংগোরে হেতে হরাইসে এরহরে দি
/content/drive/MyDrive/WavDataset/TestWavFile/riadmsgn_segment_9.wav,হ্যা খালিদ ভাই একজন আছে হেতেনে হরাসে হেতারা দুইজনে হরাইসে
/content/drive/MyDrive/WavDataset/TestWavFile/riadmsgn_segment_10.wav,ইংরেজি আর অংক  ম্যাথ মানি আইবিএর লাই যে প্রিপারেশন নেন দরকার হেতা আংগোরে বেক
/content/drive/MyDrive/WavDataset/TestWavFile/riadmsgn_segment_11.wav,গিন করাইছে করানের হরে অন কইচ্ছি
/content/drive/MyDrive/WavDataset/TestWavFile/riadmsgn_segment_12.wav,আল্লাহর রহমতে মক তক দিসি মোটামোটি ভালা রেসাল্ট ই হইছিল মক এর মইদ্ধে একটু আ
/content/drive/MyDrive/WavDataset/TestWavFile/riadmsgn_segment_13.wav,আশাবাদি আছিলাম কন্দিদেন্ট আছিলাম নিজের উপর একটা আত্তবিসশাশ আছিল
/content/drive/MyDrive/WavDataset/TestWavFile/riadmsgn_segment_14.wav,অন আছিল দেন দিসি এল্লাই পরিক্ষা দিসি পরিক্ষাটা
/content/drive/MyDrive/WavDataset/TestWavFile/riadmsgn_segment_15.wav,দেনের হরে দি আই খুশি আসিলাম কিন্তু এনালিটীক্যাল একটা পার্ট
/content/drive/MyDrive/WavDataset/TestWavFile/riadmsgn_segment_16.wav,আছে আইবিএর মদ্ধে অন এনালিটীক্যাল পার্ট আই দেহি আই বেগগুন হারিনা অন এনালিটীক্যাল পার্ট
/content/drive/MyDrive/WavDataset/TestWavFile/riadmsgn_segment_17.wav,আই বেগগুন হমানে করা শুরু কইচ্ছি আই তো ভুলি গেছি আর যে ম্যাথ দেন লাইগব ইয়ান্দি যে ম্যথের
/content/drive/MyDrive/WavDataset/TestWavFile/riadmsgn_segment_18.wav,পারট ইকগা আছে আই হেডার কথা ভুলি গেছি আই এনালিটীক্যাল দি 
/content/drive/MyDrive/WavDataset/TestWavFile/riadmsgn_segment_19.wav,টাইম গেছে নষ্ট হই এর হরে তাড়াহুরা করি দিসি ইংলিশ ইংলিশ
/content/drive/MyDrive/WavDataset/TestWavFile/riadmsgn_segment_20.wav,দিসি এনালাইটিক্যাল দিসি দেয়নের হর দেই এবার ম্যাথের লাই আর কাছে আর এলা
/content/drive/MyDrive/WavDataset/TestWavFile/riadmsgn_segment_21.wav,বিশ মিনিট এলা বিশ মিনিটে যদ্দুর হাইরছি আই তদ্দুর আই আর
/content/drive/MyDrive/WavDataset/TestWavFile/riadmsgn_segment_22.wav,সরবচ্চো চেষ্টা কইচ্ছি দিসি দেওনের হরে অন কিরুকুম তা
/content/drive/MyDrive/WavDataset/TestWavFile/riadmsgn_segment_23.wav,তারহরেও একটা মনের মধ্যে একটা আশা আসিল আরকি এত খারাপ ও তো দি ন এনা
/content/drive/MyDrive/WavDataset/TestWavFile/riadmsgn_segment_24.wav,লিটিক্যাল যা আইসে  দিসি ইংলিশ ও আলহামদুলিল্লাহ সব দিসি মোটামোটি
/content/drive/MyDrive/WavDataset/TestWavFile/riadmsgn_segment_25.wav,কিছু ভোকাবুলারিত কিছু সমস্যা আছিল
/content/drive/MyDrive/WavDataset/TestWavFile/riadmsgn_segment_26.wav,এই দুই একগা আন্তাইজজা দিসি আন্তাইজজা দিয়া লাইসি অন ম্যাথ তো বেগগুন তো দিতাম হারি ন এই কারনে
/content/drive/MyDrive/WavDataset/TestWavFile/riadmsgn_segment_27.wav,আরকি ইংলিশে এক্টূ রিস্ক লইসি আর্কি লনের হরে দেই অন
